Start,End,Open,High,Low,Close,Volume,Market Cap
2024-09-26,2024-09-27,63140.63,65616.04,62792.05,65142.08,103723189296.06621,1270017035677.3135
2024-09-25,2024-09-26,64208.02,64669.95,62957.27,63165.61,103767866644.80139,1259728792995.54
2024-09-24,2024-09-25,63346.7,64587.13,62752.04,64335.62,103073420384.87805,1254924424630.1917
2024-09-23,2024-09-24,63467.95,64644.96,62842.02,63332.69,107862272444.62021,1255023646422.6865
2024-09-22,2024-09-23,63359.99,63868.07,62476.04,63575.97,84841750994.446,1243803840310.3623
2024-09-21,2024-09-22,63112.9,63519.41,62823.98,63389.92,94051059382.0453,1246516946650.5818
2024-09-20,2024-09-21,62935.88,64053.96,62400.04,63102.03,115934019619.80139,1248769660324.1533
2024-09-19,2024-09-20,61831.96,63819.92,61592,62953.98,127035448554.81534,1237744694233.0417
2024-09-18,2024-09-19,60313.98,61449.14,59216.01,61449.14,110043990808.47038,1188172297080.9094
2024-09-17,2024-09-18,58267.94,61259.99,57620,60303.5,101668766635.31708,1172633447284.5715
2024-09-16,2024-09-17,59191.96,59191.96,57549.78,58229.2,94703021874.56445,1152253111991.209
2024-09-15,2024-09-16,59999.98,60375.64,58855.95,59198.11,77829620369.19164,1184977871771.244
2024-09-14,2024-09-15,60560.04,60590.1,59530.84,59987.93,100482054719.06621,1185546465171.9966
2024-09-13,2024-09-14,58153.97,60593.91,57688.82,60575.47,101420595997.81184,1159355964877.5889
2024-09-12,2024-09-13,57371.99,58514.55,57371.99,58116.05,112051169145.18466,1146172572942.6272
2024-09-11,2024-09-12,57600.01,57960.58,55588.99,57364.02,108220528609.446,1124141546458.115
2024-09-10,2024-09-11,56964.02,57984.81,56487.58,57627.99,103703769724.7317,1128119592931.965
2024-09-09,2024-09-10,54777.01,57869.99,54624.95,57031.98,95723896724.91228,1099907178125.3613
2024-09-08,2024-09-09,54116.16,55228.47,53694.23,54823.96,77973295408.60278,1073878187187.4844
2024-09-07,2024-09-08,53976.04,54810.03,53767.28,54188.32,121445897017.69337,1071141347783.9269
2024-09-06,2024-09-07,56209.17,56896.3,52738,53922.68,120787253459.05226,1091996852510.7631
2024-09-05,2024-09-06,58006.56,58284.98,55835,56170.04,115814349011.1324,1121929134241.6099
2024-09-04,2024-09-05,57644.03,58489.96,55737.91,57984.05,119214510126.47386,1129078127994.1116
2024-09-03,2024-09-04,59105.91,59764,57544.01,57544.01,110839951228.43205,1157513796045.655
2024-09-02,2024-09-03,57333.38,59350.72,57297.96,59127.62,111999098228.25435,1149670462101.4739
2024-09-01,2024-09-02,58972.96,59038.16,57268.97,57341.08,99808533702.47038,1149971682521.6794
2024-08-31,2024-09-01,59115.46,59382.99,58800.05,58965.98,102719941863.68292,1166833451801.5227
2024-08-30,2024-08-31,59295.05,59763.02,57944,59158,106977637878.67247,1166363249388.6794
2024-08-29,2024-08-30,59076.95,61106.97,58821.98,59348.98,110310423675.44948,1178040523912.0732
2024-08-28,2024-08-29,59320.04,60162,57933.03,59034.65,125193171751.83275,1170041472108.021
2024-08-27,2024-08-28,62828.6,63189.69,58564.03,59503.05,109127583964.41115,1227021403141.0278
2024-08-26,2024-08-27,64347.03,64374.01,62866.04,62866.04,101203762857.35191,1256706917886.4844
2024-08-25,2024-08-26,64184.99,64837.15,63792.95,64279.03,94619490854.93729,1265316086913.1846
2024-08-24,2024-08-25,64090.69,64416.96,63625.97,64107.98,125881577994.09407,1264412172950.7073
2024-08-23,2024-08-24,60392.09,64851.37,60392.09,63979.97,109681143161.26573,1218888710712.563
2024-08-22,2024-08-23,61167.48,61379.44,59953.14,60386.02,109925654743.1324,1197426375299.5957
2024-08-21,2024-08-22,59114.41,61813.19,58907.09,61109.99,109456682134.21603,1180932346414.1184
2024-08-20,2024-08-21,59448,61315.96,58705.68,59056.01,103619917438.06621,1185948542857.0105
2024-08-19,2024-08-20,58320.02,59562.71,57928.86,59562.71,93178855472.10802,1157509291689.108
2024-08-18,2024-08-19,59479.04,60212.28,58525.95,58525.95,80655928562.98607,1177542188593.5122
2024-08-17,2024-08-18,58902.94,59669.97,58855.66,59420.03,88140111621.74216,1169880838222.3833
2024-08-16,2024-08-17,57523.11,59806.42,57168.52,58902.1,106395319154.49826,1153353002063.1533
2024-08-15,2024-08-16,58731.42,59808.54,56658.81,57600,103561753070.77351,1152323874600.446
2024-08-14,2024-08-15,60460.83,61459.95,58577.96,58730.93,100245718135.20906,1186804832893.1743
2024-08-13,2024-08-14,59455.98,61507.57,58526.98,60565.01,103696068413.57143,1178381779554.0872
2024-08-12,2024-08-13,58804.02,60469.67,57916.99,59342.02,100105883667.67247,1164230078281.8257
2024-08-11,2024-08-12,60958.03,61554.95,58439.57,58819.99,79394741807.11847,1192444538961.5435
2024-08-10,2024-08-11,60707.54,61178.66,60262.05,60875.98,95154408736.78746,1198423963883.9304
